tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
0,3,0,0.516374,0.031166,0.065125,0.420083,0.000292,0.003083,0.039209,0.001209,0.000458,0.005625
1,3,0,0.057333,0,0.020417,0.036916,0.000249,0.001501,0.006042,0.000582,0.000291,0.00475
2,3,0,0.055083,0,0.017542,0.037541,0.000249,0.001376,0.004124,0.0005,0.000125,0.00475
3,3,0,0.065917,0,0.02275,0.043167,0.000416,0.001835,0.006708,0.000709,0.000208,0.004958
4,3,0,0.071125,0,0.026125,0.045,0.000542,0.002584,0.007709,0.000708,0.000208,0.005168
5,3,0,0.065833,0,0.024083,0.04175,0.000209,0.002542,0.006666,0.000626,0.000292,0.004583
6,3,0,0.073584,0,0.025959,0.047625,0.00025,0.002833,0.007293,0.000791,0.000166,0.004958
7,3,0,0.125375,0,0.0275,0.097875,0.000375,0.002792,0.008624,0.000834,0.000208,0.004958
8,3,0,0.055999,0,0.018541,0.037458,0.000334,0.001458,0.004583,0.000583,0.000167,0.004709
9,3,0,0.070375,0,0.020083,0.050292,0.000291,0.001667,0.005334,0.000708,0.00025,0.004667
10,3,0,0.083624,0.013083,0.0245,0.046041,0.00025,0.002291,0.007708,0.000709,0.000249,0.00475
11,3,0,0.057042,0,0.0195,0.037542,0.000207,0.001543,0.005249,0.000542,0.00021,0.004542
12,3,0,0.081666,0,0.030166,0.0515,0.000459,0.003959,0.008875,0.000957,0.00025,0.00525
13,3,0,0.082541,0,0.030583,0.051958,0.000416,0.003708,0.009457,0.000667,0.000167,0.005
14,3,0,0.104083,0,0.017833,0.08625,0.000333,0.001541,0.004124,0.000541,0.000208,0.004625
15,3,0,0.082333,0,0.025458,0.056875,0.000333,0.002042,0.009917,0.000625,0.000125,0.004542
16,3,0,0.063167,0,0.021458,0.041709,0.000416,0.001666,0.006042,0.000624,0.000208,0.005
17,3,0,0.054208,0,0.018333,0.035875,0.00025,0.0015,0.004125,0.000583,0.000208,0.004834
