tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
0,3,0,0.547875,0.049875,0.0345,0.4635,0.000624,0.004625,0.002958,0.001501,0.00025,0.006791
1,3,0,0.109708,0.005333,0.059625,0.04475,0.000334,0.00175,0.04325,0.000834,0.000207,0.006458
2,3,0,0.081084,0.007459,0.024625,0.049,0.000458,0.001876,0.007125,0.001,0.000251,0.006291
3,3,0,0.101417,0.011125,0.030875,0.059417,0.00025,0.002542,0.011125,0.001084,0.000249,0.006459
4,3,0,0.09675,0.011,0.030125,0.055625,0.000374,0.002959,0.008957,0.001334,0.000333,0.006583
5,3,0,0.110083,0.013875,0.033792,0.062416,0.00025,0.003667,0.011,0.001292,0.000208,0.006709
6,3,0,0.076334,0.005959,0.023416,0.046959,0.000375,0.001958,0.006333,0.000834,0.000249,0.006333
7,3,0,0.152082,0.011291,0.030791,0.11,0.000333,0.002708,0.010583,0.001125,0.00025,0.006834
8,3,0,0.088209,0.009,0.027042,0.052167,0.000292,0.002459,0.008709,0.00075,0.000291,0.006333
9,3,0,0.110666,0.013791,0.03375,0.063125,0.000416,0.00321,0.011917,0.001126,0.000374,0.007124
10,3,0,0.093708,0.008625,0.030625,0.054458,0.000249,0.002042,0.011584,0.000999,0.000292,0.006626
11,3,0,0.086833,0.007791,0.026083,0.052959,0.000376,0.002042,0.007,0.001084,0.00025,0.007
12,3,0,0.098042,0.009959,0.030083,0.058,0.00025,0.002542,0.009834,0.00125,0.00025,0.007208
13,3,0,0.0965,0.009583,0.030542,0.056375,0.000374,0.002416,0.009209,0.001375,0.00025,0.007457
14,3,0,0.184584,0.009958,0.029417,0.145209,0.000417,0.002291,0.008958,0.001042,0.000334,0.00675
15,3,0,0.123499,0.023958,0.0415,0.058041,0.0005,0.004043,0.014917,0.001541,0.000293,0.00675
16,3,0,0.07075,0.006542,0.022208,0.042,0.000252,0.001624,0.006668,0.000876,0.000207,0.005418
17,3,0,0.110709,0.012666,0.034584,0.063459,0.000333,0.002665,0.011,0.001375,0.000333,0.008125
18,3,0,0.089001,0.0085,0.027334,0.053167,0.000375,0.002251,0.008376,0.001084,0.000291,0.006875
19,3,0,0.108459,0.011792,0.033167,0.0635,0.000417,0.002667,0.010583,0.001083,0.000333,0.007918
20,3,0,0.082167,0.007667,0.024958,0.049542,0.000291,0.001917,0.006667,0.000999,0.000251,0.006624
21,3,0,0.159375,0.011708,0.03325,0.114417,0.000333,0.002875,0.010499,0.00125,0.000292,0.007834
22,3,0,0.103957,0.00975,0.032666,0.061541,0.000582,0.002709,0.009625,0.001291,0.000375,0.008
23,3,0,0.110293,0.011917,0.034167,0.064209,0.000542,0.003042,0.010792,0.001291,0.000249,0.008042
24,8,0,1.00917,0.007083,0.234667,0.767417,0.000418,0.002582,0.205584,0.001084,0.000334,0.016167
25,8,0,0.280209,0.038333,0.081209,0.160667,0.000916,0.006041,0.024791,0.002415,0.000833,0.023543
26,8,0,0.382207,0.034541,0.079458,0.268208,0.000999,0.005874,0.020792,0.002709,0.000836,0.024293
27,8,0,0.261916,0.029833,0.082291,0.149792,0.000709,0.006874,0.023375,0.00275,0.000707,0.023457
28,8,0,0.279667,0.023458,0.072792,0.183417,0.00075,0.00525,0.019043,0.002459,0.000832,0.023167
29,8,0,0.249374,0.026416,0.077208,0.14575,0.000791,0.006457,0.021249,0.002749,0.00079,0.022833
30,8,0,0.234792,0.021125,0.071917,0.14175,0.000834,0.005418,0.01825,0.0025,0.000918,0.022875
31,8,0,0.311834,0.029042,0.077792,0.205,0.000833,0.006002,0.021375,0.002584,0.000794,0.023542
32,8,0,0.253374,0.027666,0.075292,0.150416,0.000875,0.005749,0.019291,0.002581,0.000666,0.023419
33,8,0,0.280625,0.031292,0.111791,0.137542,0.000707,0.006585,0.021165,0.002543,0.000792,0.021499
34,8,0,0.278624,0.024166,0.064667,0.189791,0.000749,0.004872,0.016583,0.002335,0.000665,0.020458
35,8,0,0.241208,0.033583,0.074708,0.132917,0.000666,0.006084,0.024709,0.002582,0.000583,0.019916
36,8,0,0.197792,0.01725,0.057167,0.123375,0.00071,0.003958,0.01454,0.001957,0.00071,0.018624
37,8,0,0.301041,0.027833,0.074208,0.199,0.000791,0.005792,0.021249,0.002333,0.000875,0.023041
38,8,0,0.247126,0.027334,0.068084,0.151708,0.000918,0.004873,0.016834,0.002251,0.000874,0.022167
39,8,0,0.183208,0.023208,0.056167,0.103833,0.000542,0.004249,0.017086,0.002125,0.000583,0.016874
40,8,0,0.240291,0.020416,0.048708,0.171167,0.000585,0.003458,0.01171,0.00154,0.000542,0.015834
41,8,0,0.194417,0.029417,0.05825,0.10675,0.000583,0.005124,0.016709,0.002042,0.000458,0.016792
42,8,0,0.251624,0.028333,0.054666,0.168625,0.000542,0.004582,0.016166,0.001667,0.000541,0.016168
43,8,0,0.201625,0.034625,0.057666,0.109334,0.000583,0.005082,0.017625,0.001958,0.000542,0.01596
44,8,0,0.198334,0.027375,0.057417,0.113542,0.000669,0.004332,0.017667,0.00196,0.000414,0.016292
45,8,0,0.249292,0.033917,0.062208,0.153167,0.000626,0.005082,0.018915,0.002039,0.000501,0.01775
46,8,0,0.205417,0.028958,0.053167,0.123292,0.000665,0.004043,0.014584,0.001875,0.000503,0.016043
47,8,0,0.200542,0.03225,0.059583,0.108709,0.0005,0.005209,0.018124,0.002124,0.000582,0.016793
48,13,0,0.392958,0.030917,0.109916,0.252125,0.000793,0.004377,0.060041,0.002293,0.000792,0.022791
49,13,0,0.449041,0.048875,0.116541,0.283625,0.001291,0.008167,0.031501,0.003751,0.001211,0.037709
50,13,0,0.403584,0.0435,0.13775,0.222334,0.003584,0.010085,0.022751,0.023084,0.001375,0.045875
51,13,0,0.444876,0.051125,0.111167,0.282584,0.001459,0.007833,0.027042,0.004083,0.001167,0.03821
52,13,0,0.398417,0.046042,0.105875,0.2465,0.001458,0.006418,0.024626,0.003832,0.001333,0.037916
53,13,0,0.419208,0.042333,0.103167,0.273708,0.001251,0.006457,0.022876,0.003872,0.001212,0.037584
54,13,0,0.3945,0.049958,0.1225,0.222042,0.001293,0.007292,0.032711,0.003959,0.001208,0.037334
55,13,0,0.461125,0.055833,0.113083,0.292209,0.001335,0.007961,0.0295,0.003959,0.001333,0.037416
56,13,0,0.454709,0.057375,0.124792,0.272542,0.001418,0.00775,0.039665,0.003998,0.001455,0.037793
57,13,0,0.397042,0.063084,0.113,0.220958,0.001373,0.007876,0.028873,0.004166,0.001207,0.037834
58,15,0,0.471208,0.056625,0.131,0.283583,0.001375,0.007205,0.047417,0.003958,0.001251,0.03821
59,15,0,0.480375,0.065875,0.128125,0.286375,0.001582,0.008915,0.031835,0.00446,0.001373,0.043916
60,15,0,0.492124,0.068708,0.154583,0.268833,0.001708,0.010959,0.052415,0.004416,0.001582,0.044585
61,15,0,0.556,0.08225,0.136333,0.337417,0.001585,0.010125,0.035834,0.005001,0.00175,0.044709
62,15,0,0.50346,0.077584,0.137584,0.288292,0.001584,0.008291,0.03125,0.004083,0.001541,0.043415
63,15,0,0.435083,0.07125,0.12275,0.241083,0.001541,0.007832,0.028123,0.00421,0.001586,0.044333
64,15,0,0.480166,0.072417,0.122333,0.285416,0.001625,0.008293,0.027209,0.00421,0.001457,0.043917
65,15,0,0.490833,0.080709,0.131291,0.278833,0.001584,0.009667,0.032123,0.004501,0.001501,0.044627
66,15,0,0.520043,0.114542,0.147709,0.257792,0.001416,0.011249,0.037459,0.012291,0.001543,0.043668
67,15,0,0.565041,0.103375,0.15675,0.304916,0.0015,0.014085,0.046667,0.005421,0.001417,0.045747
68,15,0,0.539,0.111208,0.139459,0.288333,0.001665,0.008083,0.040377,0.004165,0.001289,0.043584
69,15,0,0.518166,0.096917,0.162208,0.259041,0.001374,0.012957,0.048499,0.00679,0.001377,0.045667
70,15,0,0.557167,0.111542,0.136208,0.309417,0.001543,0.008042,0.030751,0.004333,0.001458,0.05475
71,15,0,0.574332,0.111458,0.159958,0.302916,0.002332,0.01275,0.045793,0.006375,0.002292,0.04725
72,20,0,0.466209,0.101834,0.130334,0.234041,0.001166,0.00571,0.063958,0.003083,0.000959,0.030542
73,20,0,0.475666,0.08075,0.11975,0.275166,0.001542,0.008375,0.028333,0.00425,0.001085,0.042042
74,20,0,0.446333,0.078042,0.122416,0.245875,0.001583,0.007833,0.032957,0.004251,0.001335,0.041873
75,20,0,0.460417,0.076792,0.112917,0.270708,0.001542,0.007417,0.025377,0.004041,0.001254,0.040625
76,20,0,0.433541,0.080666,0.111,0.241875,0.001377,0.007251,0.024002,0.003793,0.001168,0.040916
77,20,0,0.458292,0.091417,0.113209,0.253666,0.001462,0.007666,0.026086,0.004167,0.001293,0.040291
78,20,0,0.518916,0.09925,0.128,0.291666,0.001794,0.008458,0.026583,0.004706,0.00167,0.04758
79,20,0,0.687458,0.132167,0.180958,0.374333,0.002081,0.011163,0.042956,0.006086,0.001793,0.060122
80,20,0,0.6565,0.15725,0.156875,0.342375,0.002208,0.009999,0.034127,0.005667,0.002002,0.058002
81,20,0,0.626501,0.133709,0.156292,0.3365,0.002164,0.009915,0.032581,0.005581,0.00204,0.059127
